filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,390,250,plate,158,175,229,201
1.jpg,390,250,plate,328,171,351,180
1.jpg,390,250,plate,53,138,67,143
10.jpg,830,466,plate,2,367,121,407
10.jpg,830,466,plate,560,303,634,326
100.jpg,475,316,plate,87,154,145,187
101.jpg,259,194,plate,199,134,241,160
103.jpg,272,185,plate,184,82,207,93
104.jpg,298,169,plate,218,116,259,140
106.jpg,282,178,plate,103,91,175,116
107.jpg,259,194,plate,209,77,236,100
108.jpg,259,194,plate,47,85,93,108
109.jpg,259,194,plate,190,90,217,106
11.jpg,700,394,plate,80,260,122,294
110.jpg,259,194,plate,32,89,61,109
111.jpg,259,194,plate,193,78,227,100
112.jpg,259,194,plate,20,57,46,81
113.jpg,259,194,plate,211,83,234,102
115.jpg,640,480,plate,132,172,215,206
115.jpg,640,480,plate,570,234,607,249
116.jpg,320,240,plate,185,145,260,182
117.jpg,1280,960,plate,145,450,253,524
118.jpg,259,194,plate,56,83,105,111
119.jpg,500,500,plate,188,332,319,377
121.jpg,500,500,plate,183,328,307,374
122.jpg,500,500,plate,120,373,259,423
123.jpg,274,184,plate,125,145,192,163
124.jpg,259,194,plate,102,133,164,154
125.jpg,259,194,plate,171,126,208,149
127.jpg,700,656,plate,341,482,499,533
128.jpg,600,600,plate,209,447,401,504
13.jpg,279,180,plate,82,118,114,131
13.jpg,279,180,plate,43,92,56,99
130.jpg,0,0,plate,621,291,745,358
131.jpg,274,184,plate,95,132,180,159
133.jpg,519,405,plate,75,267,202,327
134.jpg,274,184,plate,44,120,80,145
136.jpg,225,225,plate,89,145,142,162
137.jpg,490,310,plate,424,213,474,250
138.jpg,506,500,plate,251,378,365,425
139.jpg,274,184,plate,107,132,177,155
14.jpg,700,525,plate,487,353,571,405
14.jpg,700,525,plate,615,203,648,215
140.jpg,282,179,plate,81,126,151,152
141.jpg,259,194,plate,93,151,177,172
142.jpg,259,194,plate,92,138,163,161
143.jpg,259,194,plate,88,147,169,172
144.jpg,259,194,plate,14,114,36,136
145.jpg,282,179,plate,111,143,176,165
146.jpg,282,179,plate,90,150,179,175
148.jpg,225,225,plate,81,136,128,153
149.jpg,259,194,plate,68,126,121,157
151.jpg,259,194,plate,28,103,61,127
152.jpg,640,480,plate,66,242,174,287
154.jpg,360,270,plate,215,188,277,213
155.jpg,0,0,plate,283,618,567,710
157.jpg,0,0,plate,112,254,229,286
158.jpg,0,0,plate,117,259,245,297
16.jpg,388,270,plate,154,174,252,205
160.jpg,611,410,plate,35,257,120,337
161.jpg,610,410,plate,291,222,379,251
161.jpg,610,410,plate,559,160,610,178
162.jpg,611,344,plate,140,240,210,290
163.jpg,611,410,plate,459,281,543,335
164.jpg,611,343,plate,101,243,154,277
166.jpg,900,511,plate,83,362,173,452
167.jpg,640,640,plate,97,506,216,575
169.jpg,520,390,plate,59,132,150,176
17.jpg,227,170,plate,38,95,62,108
17.jpg,227,170,plate,8,113,17,118
170.jpg,159,318,plate,18,113,108,149
172.jpg,259,194,plate,15,60,53,79
